"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Nicobar Islands","32.2 (2017)"
"North and Middle Andaman","34.1 (2017)"
"South Andaman","32.7 (2017)"
"Nicobars - Kandul Island",""
"North & Middle Andaman - Long Island",""
"South Anadaman - Island",""
