"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Banas Kantha","55.5 (2017)"
"Gandhinagar","46.8 (2017)"
"Ahmadabad","44.8 (2017)"
"Amreli","39.1 (2017)"
"Bhavnagar","54.6 (2017)"
"Anand","46.3 (2017)"
"Dahod","58.1 (2017)"
"Bharuch","35.8 (2017)"
"Kachchh","41.1 (2017)"
"Patan","47.9 (2017)"
"Mahesana","48.5 (2017)"
"Sabar Kantha","38.9 (2017)"
"Surendranagar","45.8 (2017)"
"Rajkot","43.3 (2017)"
"Jamnagar","41.1 (2017)"
"Porbandar","41.8 (2017)"
"Junagadh","47.4 (2017)"
"Kheda","50.7 (2017)"
"Panch Mahals","56.4 (2017)"
"Narmada","36.5 (2017)"
"The Dangs","43.5 (2017)"
"Navsari","48.4 (2017)"
"Surat","43.9 (2017)"
"Tapi","42.7 (2017)"
"Vadodara","41.2 (2017)"
"Valsad","44.3 (2017)"
"Rann of Kachchh",""
"Ahmadabad - Sandy/Mud area",""
"Little Rann",""
"Jamnagar - Rocky area",""
"Junagadh - Sandy/Mud area",""
"Amreli - Sandy/Mud area",""
"Bhavnagar - Sandy/Mud area",""
"Anand - Sandy/Mud area",""
"Bharuch - Sandy/Mud area",""
"Navsari - Sandy/Mud area",""
"Valsad - Sandy/Mud area",""
"Surat - Sandy/Mud area",""
