"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Senapati","41 (2017)"
"Tamenglong","33.8 (2017)"
"Churachandpur","42.1 (2017)"
"Bishnupur","44.9 (2017)"
"Thoubal","42.1 (2017)"
"Imphal West","41.1 (2017)"
"Imphal East","38.6 (2017)"
"Ukhrul","40.3 (2017)"
"Chandel","38.4 (2017)"
