"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Mamit","35.3 (2017)"
"Kolasib","42.6 (2017)"
"Aizawl","37.7 (2017)"
"Champhai","37 (2017)"
"Serchhip","35.1 (2017)"
"Lunglei","40.8 (2017)"
"Lawngtlai","31.5 (2017)"
"Saiha","37.7 (2017)"
