"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Bargarh","38.3 (2017)"
"Baleshwar","48.2 (2017)"
"Bhadrak","49.2 (2017)"
"Cuttack","53.9 (2017)"
"Anugul","50.2 (2017)"
"Baudh","42.4 (2017)"
"Balangir","48.8 (2017)"
"Jharsuguda","41.8 (2017)"
"Debagarh","44.3 (2017)"
"Kendujhar","41.6 (2017)"
"Kendrapara","34.8 (2017)"
"Jagatsinghapur","60.2 (2017)"
"Jajapur","52.3 (2017)"
"Dhenkanal","42.3 (2017)"
"Khordha","41.1 (2017)"
"Ganjam","49.3 (2017)"
"Gajapati","33.8 (2017)"
"Kandhamal","33.4 (2017)"
"Kalahandi","37.4 (2017)"
"Koraput","33 (2017)"
"Sambalpur","31.8 (2017)"
"Sundargarh","40.5 (2017)"
"Mayurbhanj","33.1 (2017)"
"Nayagarh","44.3 (2017)"
"Puri","46.2 (2017)"
"Subarnapur","39.4 (2017)"
"Nuapada","44 (2017)"
"Rayagada","30 (2017)"
"Nabarangapur","49.8 (2017)"
"Malkangiri","45 (2017)"
