"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Kasaragod","45.5 (2017)"
"Kannur","51.9 (2017)"
"Kozhikode","47.4 (2017)"
"Malappuram","54 (2017)"
"Ernakulam","50.8 (2017)"
"Idukki","49 (2017)"
"Kottayam","42.7 (2017)"
"Alappuzha","53.9 (2017)"
"Kollam","55.5 (2017)"
"Wayanad","47.2 (2017)"
"Palakkad","49.1 (2017)"
"Thrissur","46.8 (2017)"
"Pathanamthitta","44.4 (2017)"
"Thiruvananthapuram","58.2 (2017)"
