"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Ajmer","63.7 (2017)"
"Ganganagar","50.1 (2017)"
"Hanumangarh","49.5 (2017)"
"Bikaner","51.5 (2017)"
"Churu","66.6 (2017)"
"Alwar","55.2 (2017)"
"Bharatpur","62.8 (2017)"
"Dhaulpur","70.1 (2017)"
"Dausa","68.5 (2017)"
"Jaipur","58.7 (2017)"
"Barmer","64.6 (2017)"
"Bundi","58.7 (2017)"
"Bhilwara","45.2 (2017)"
"Dungarpur","54.6 (2017)"
"Banswara","46.8 (2017)"
"Chittaurgarh","50.7 (2017)"
"Baran","52.8 (2017)"
"Jhunjhunun","63 (2017)"
"Karauli","59.9 (2017)"
"Sawai Madhopur","60.9 (2017)"
"Sikar","61.4 (2017)"
"Nagaur","70.5 (2017)"
"Jodhpur","58.8 (2017)"
"Jaisalmer","59.1 (2017)"
"Jalor","57.1 (2017)"
"Sirohi","46.1 (2017)"
"Pali","44.7 (2017)"
"Tonk","58.6 (2017)"
"Rajsamand","53.9 (2017)"
"Kota","57.9 (2017)"
"Jhalawar","58.6 (2017)"
"Pratapgarh","47.2 (2017)"
"Udaipur","52.5 (2017)"
