"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Chamba","32.3 (2017)"
"Kangra","35.8 (2017)"
"Lahul & Spiti","29.3 (2017)"
"Kullu","32.4 (2017)"
"Mandi","40.2 (2017)"
"Hamirpur","33.7 (2017)"
"Una","35.6 (2017)"
"Bilaspur","35.1 (2017)"
"Solan","39.8 (2017)"
"Sirmaur","30.2 (2017)"
"Shimla","36.7 (2017)"
"Kinnaur","33 (2017)"
