"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Adilabad","31 (2017)"
"Nizamabad","41.5 (2017)"
"Mancherial","40.7 (2017)"
"Nirmal","40 (2017)"
"Peddapalli","38.6 (2017)"
"Mahabubabad","33.2 (2017)"
"Komaram Bheem","35.2 (2017)"
"Jagtial","35.3 (2017)"
"Jayashankar","31.3 (2017)"
"Bhadradri","32.3 (2017)"
