"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Faridkot","29.8 (2017)"
"Bathinda","25.6 (2017)"
"Amritsar","36.2 (2017)"
"Barnala","26.5 (2017)"
"Gurdaspur","39.2 (2017)"
"Kapurthala","31.8 (2017)"
"Jalandhar","28.4 (2017)"
"Hoshiarpur","34 (2017)"
"Shahid Bhagat Singh Nagar","31.3 (2017)"
"Fatehgarh Sahib","27.2 (2017)"
"Ludhiana","30.1 (2017)"
"Moga","28 (2017)"
"Firozpur","36.6 (2017)"
"Muktsar","27.5 (2017)"
"Mansa","25.9 (2017)"
"Patiala","27.5 (2017)"
"Tarn Taran","30.5 (2017)"
"Rupnagar","27.3 (2017)"
"Sahibzada Ajit Singh Nagar","26.7 (2017)"
"Sangrur","25.6 (2017)"
