"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"East Garo Hills","27.8 (2017)"
"East Khasi Hills","35.8 (2017)"
"Jaintia Hills","32.8 (2017)"
"West Garo Hills","33.5 (2017)"
"South Garo Hills","29.1 (2017)"
"West Khasi Hills","37 (2017)"
"Ribhoi",""
