"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Barpeta","55.4 (2017)"
"Cachar","58.1 (2017)"
"Bongaigaon","59.8 (2017)"
"Baksa","47.1 (2017)"
"Kokrajhar","55.8 (2017)"
"Dhubri","56.6 (2017)"
"Goalpara","42.4 (2017)"
"Morigaon","55.3 (2017)"
"Nagaon","52.4 (2017)"
"Sonitpur","37.4 (2017)"
"Lakhimpur","54 (2017)"
"Dhemaji","38.4 (2017)"
"Tinsukia","40.9 (2017)"
"Dibrugarh","43 (2017)"
"Sivasagar","39.7 (2017)"
"Jorhat","41.3 (2017)"
"Golaghat","38 (2017)"
"Karbi Anglong","44.2 (2017)"
"Dima Hasao","53.1 (2017)"
"Karimganj","50.5 (2017)"
"Hailakandi","62.5 (2017)"
"Chirang","49.2 (2017)"
"Kamrup","51.6 (2017)"
"Kamrup Metropolitan","47.3 (2017)"
"Nalbari","52.4 (2017)"
"Darrang","47 (2017)"
"Udalguri","43.2 (2017)"
