"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Faridkot","28.5 (2017)"
"Bathinda","23.9 (2017)"
"Amritsar","34.1 (2017)"
"Barnala","25.9 (2017)"
"Gurdaspur","39 (2017)"
"Kapurthala","30.7 (2017)"
"Jalandhar","29.8 (2017)"
"Hoshiarpur","33.2 (2017)"
"Shahid Bhagat Singh Nagar","30.1 (2017)"
"Fatehgarh Sahib","25.9 (2017)"
"Ludhiana","29.2 (2017)"
"Moga","27.6 (2017)"
"Firozpur","36.4 (2017)"
"Muktsar","26.3 (2017)"
"Mansa","25.5 (2017)"
"Patiala","27.1 (2017)"
"Tarn Taran","29.8 (2017)"
"Rupnagar","27 (2017)"
"Sahibzada Ajit Singh Nagar","25.2 (2017)"
"Sangrur","25.4 (2017)"
