"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Adilabad","30.1 (2017)"
"Nizamabad","42.1 (2017)"
"Mancherial","39.9 (2017)"
"Nirmal","38.4 (2017)"
"Peddapalli","37.9 (2017)"
"Mahabubabad","35.2 (2017)"
"Komaram Bheem","34.8 (2017)"
"Jagtial","35.2 (2017)"
"Jayashankar","33.7 (2017)"
"Bhadradri","31.6 (2017)"
