"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Bankura","33.4 (2017)"
"Jalpaiguri","30.3 (2017)"
"Koch Bihar","35.7 (2017)"
"Dakshin Dinajpur","36.7 (2017)"
"Birbhum","35.5 (2017)"
"Hugli","34.8 (2017)"
"Haora","34 (2017)"
"Maldah","43.8 (2017)"
"Murshidabad","41.9 (2017)"
"Nadia","36.3 (2017)"
"North Twenty Four Parganas","31.9 (2017)"
"Kolkata","41.4 (2017)"
"Paschim Medinipur","44.1 (2017)"
"Purba Medinipur","47.2 (2017)"
"Uttar Dinajpur","30.4 (2017)"
"Puruliya","33.1 (2017)"
"South Twenty Four Parganas","46.2 (2017)"
"Darjiling",""
"Barddhaman",""
"West Bengal - New Moore Island",""
