"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"East Godavari","64 (2017)"
"Anantapur","46.1 (2017)"
"Chittoor","43.2 (2017)"
"Krishna","50.4 (2017)"
"Guntur","50.2 (2017)"
"Kurnool","44.3 (2017)"
"Srikakulam","58.8 (2017)"
"Prakasam","59.7 (2017)"
"Nellore","42.6 (2017)"
"Vizianagaram","47 (2017)"
"Visakhapatnam","42.2 (2017)"
"West Godavari","43 (2017)"
"Y.S.R.","53.7 (2017)"
