"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Panchkula","34.3 (2017)"
"Ambala","29.9 (2017)"
"Kurukshetra","33.9 (2017)"
"Kaithal","34.1 (2017)"
"Karnal","32.1 (2017)"
"Panipat","41.2 (2017)"
"Sonipat","34.7 (2017)"
"Jind","35 (2017)"
"Fatehabad","35.6 (2017)"
"Sirsa","40.7 (2017)"
"Hisar","39.7 (2017)"
"Bhiwani","34.3 (2017)"
"Rohtak","35.6 (2017)"
"Jhajjar","42.7 (2017)"
"Mahendragarh","40.6 (2017)"
"Rewari","43.7 (2017)"
"Gurgaon","37.8 (2017)"
"Mewat","33.1 (2017)"
"Faridabad","35.1 (2017)"
"Palwal","37.9 (2017)"
"Yamunanagar","30.5 (2017)"
