"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"North Sikkim","30.1 (2017)"
"West Sikkim","29.2 (2017)"
"South Sikkim","29.7 (2017)"
"East Sikkim","30 (2017)"
