"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"North Sikkim","31.4 (2017)"
"West Sikkim","29.9 (2017)"
"South Sikkim","28.8 (2017)"
"East Sikkim","29.1 (2017)"
