"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Nicobar Islands","33.7 (2017)"
"North and Middle Andaman","35 (2017)"
"South Andaman","33 (2017)"
"Nicobars - Kandul Island",""
"North & Middle Andaman - Long Island",""
"South Anadaman - Island",""
