"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Mon","34.9 (2017)"
"Mokokchung","40.2 (2017)"
"Zunheboto","24.4 (2017)"
"Wokha","41.7 (2017)"
"Dimapur","29.5 (2017)"
"Phek","40 (2017)"
"Tuensang","23.1 (2017)"
"Longleng","28.9 (2017)"
"Kiphire","42.2 (2017)"
"Kohima","34.1 (2017)"
"Peren","32.9 (2017)"
