"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Mamit","33 (2017)"
"Kolasib","39.8 (2017)"
"Aizawl","33.8 (2017)"
"Champhai","35 (2017)"
"Serchhip","32.5 (2017)"
"Lunglei","37.6 (2017)"
"Lawngtlai","29.8 (2017)"
"Saiha","34 (2017)"
