"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"East Godavari","64.7 (2017)"
"Anantapur","45.1 (2017)"
"Chittoor","45.8 (2017)"
"Krishna","51.4 (2017)"
"Guntur","49.2 (2017)"
"Kurnool","46.2 (2017)"
"Srikakulam","59.2 (2017)"
"Prakasam","62 (2017)"
"Nellore","44.3 (2017)"
"Vizianagaram","44.7 (2017)"
"Visakhapatnam","39.3 (2017)"
"West Godavari","43.5 (2017)"
"Y.S.R.","53.2 (2017)"
