"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Bankura","34.7 (2017)"
"Jalpaiguri","29.5 (2017)"
"Koch Bihar","40.7 (2017)"
"Dakshin Dinajpur","34.4 (2017)"
"Birbhum","37.7 (2017)"
"Hugli","35.9 (2017)"
"Haora","39.8 (2017)"
"Maldah","41 (2017)"
"Murshidabad","45.4 (2017)"
"Nadia","38.1 (2017)"
"North Twenty Four Parganas","36.6 (2017)"
"Kolkata","46.3 (2017)"
"Paschim Medinipur","46.5 (2017)"
"Purba Medinipur","51.5 (2017)"
"Uttar Dinajpur","29.1 (2017)"
"Puruliya","35.4 (2017)"
"South Twenty Four Parganas","46.4 (2017)"
"Darjiling",""
"Barddhaman",""
"West Bengal - New Moore Island",""
