"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Mamit","34.1 (2017)"
"Kolasib","41.2 (2017)"
"Aizawl","35.9 (2017)"
"Champhai","36 (2017)"
"Serchhip","33.7 (2017)"
"Lunglei","39.4 (2017)"
"Lawngtlai","30.6 (2017)"
"Saiha","36 (2017)"
