"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"East Godavari","63.4 (2017)"
"Anantapur","46.9 (2017)"
"Chittoor","40.9 (2017)"
"Krishna","49.6 (2017)"
"Guntur","51.1 (2017)"
"Kurnool","42.2 (2017)"
"Srikakulam","58.4 (2017)"
"Prakasam","58.5 (2017)"
"Nellore","40.9 (2017)"
"Vizianagaram","48.6 (2017)"
"Visakhapatnam","45 (2017)"
"West Godavari","42.4 (2017)"
"Y.S.R.","54.1 (2017)"
