"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"East Garo Hills","27.7 (2017)"
"East Khasi Hills","35.6 (2017)"
"Jaintia Hills","32.8 (2017)"
"West Garo Hills","32.8 (2017)"
"South Garo Hills","29.8 (2017)"
"West Khasi Hills","36.9 (2017)"
"Ribhoi",""
