"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Kasaragod","44.3 (2017)"
"Kannur","51.7 (2017)"
"Kozhikode","48.2 (2017)"
"Malappuram","55.7 (2017)"
"Ernakulam","51.3 (2017)"
"Idukki","46.6 (2017)"
"Kottayam","43.2 (2017)"
"Alappuzha","52.4 (2017)"
"Kollam","53.7 (2017)"
"Wayanad","48.2 (2017)"
"Palakkad","50.1 (2017)"
"Thrissur","48.7 (2017)"
"Pathanamthitta","46.8 (2017)"
"Thiruvananthapuram","54 (2017)"
