"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Senapati","38.9 (2017)"
"Tamenglong","36 (2017)"
"Churachandpur","42.9 (2017)"
"Bishnupur","39.7 (2017)"
"Thoubal","44 (2017)"
"Imphal West","40.8 (2017)"
"Imphal East","40.6 (2017)"
"Ukhrul","40.9 (2017)"
"Chandel","37.2 (2017)"
