"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Adilabad","32.1 (2017)"
"Nizamabad","41 (2017)"
"Mancherial","41.4 (2017)"
"Nirmal","41.1 (2017)"
"Peddapalli","39.1 (2017)"
"Mahabubabad","31.9 (2017)"
"Komaram Bheem","35.5 (2017)"
"Jagtial","35.5 (2017)"
"Jayashankar","29.6 (2017)"
"Bhadradri","33.1 (2017)"
