"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Koriya","35.2 (2017)"
"Jashpur","36.4 (2017)"
"Raigarh","32.5 (2017)"
"Korba","27.1 (2017)"
"Janjgir-Champa","31 (2017)"
"Bilaspur","31.5 (2017)"
"Kabeerdham","37.4 (2017)"
"Durg","33.9 (2017)"
"Raipur","28.9 (2017)"
"Mahasamund","33.2 (2017)"
"Dhamtari","28.9 (2017)"
"Bastar","36.5 (2017)"
"Narayanpur","34.6 (2017)"
"Dantewada","30.5 (2017)"
"Bijapur","31.8 (2017)"
"Surguja","59.4 (2017)"
"Rajnandgaon","35.2 (2017)"
"Uttar Bastar Kanker","30.3 (2017)"
