"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Faridkot","27 (2017)"
"Bathinda","22.2 (2017)"
"Amritsar","32.3 (2017)"
"Barnala","25.1 (2017)"
"Gurdaspur","38.9 (2017)"
"Kapurthala","29.6 (2017)"
"Jalandhar","31.6 (2017)"
"Hoshiarpur","32.4 (2017)"
"Shahid Bhagat Singh Nagar","28.9 (2017)"
"Fatehgarh Sahib","24.9 (2017)"
"Ludhiana","28.4 (2017)"
"Moga","27.3 (2017)"
"Firozpur","36.1 (2017)"
"Muktsar","25 (2017)"
"Mansa","25.1 (2017)"
"Patiala","26.5 (2017)"
"Tarn Taran","29.2 (2017)"
"Rupnagar","26.8 (2017)"
"Sahibzada Ajit Singh Nagar","24 (2017)"
"Sangrur","25.2 (2017)"
