"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Uttarkashi","33 (2017)"
"Chamoli","38.8 (2017)"
"Rudraprayag","43.3 (2017)"
"Tehri Garhwal","49.1 (2017)"
"Dehradun","40.1 (2017)"
"Garhwal","45.7 (2017)"
"Pithoragarh","42.4 (2017)"
"Bageshwar","41.2 (2017)"
"Almora","33.1 (2017)"
"Champawat","34 (2017)"
"Nainital","37.3 (2017)"
"Udham Singh Nagar","37.7 (2017)"
"Hardwar","44.3 (2017)"
