"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Kasaragod","44.9 (2017)"
"Kannur","51.8 (2017)"
"Kozhikode","47.8 (2017)"
"Malappuram","54.9 (2017)"
"Ernakulam","51.1 (2017)"
"Idukki","47.8 (2017)"
"Kottayam","42.9 (2017)"
"Alappuzha","53.1 (2017)"
"Kollam","54.6 (2017)"
"Wayanad","47.7 (2017)"
"Palakkad","49.7 (2017)"
"Thrissur","47.7 (2017)"
"Pathanamthitta","45.5 (2017)"
"Thiruvananthapuram","56.4 (2017)"
