"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Nicobar Islands","33 (2017)"
"North and Middle Andaman","34.6 (2017)"
"South Andaman","32.9 (2017)"
"Nicobars - Kandul Island",""
"North & Middle Andaman - Long Island",""
"South Anadaman - Island",""
