"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Senapati","40 (2017)"
"Tamenglong","34.7 (2017)"
"Churachandpur","42.5 (2017)"
"Bishnupur","42.7 (2017)"
"Thoubal","42.9 (2017)"
"Imphal West","41 (2017)"
"Imphal East","39.4 (2017)"
"Ukhrul","40.6 (2017)"
"Chandel","37.8 (2017)"
