"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Panchkula","30.9 (2017)"
"Ambala","28.4 (2017)"
"Kurukshetra","33.8 (2017)"
"Kaithal","33.5 (2017)"
"Karnal","30.8 (2017)"
"Panipat","42 (2017)"
"Sonipat","38.4 (2017)"
"Jind","32.7 (2017)"
"Fatehabad","36.6 (2017)"
"Sirsa","40.2 (2017)"
"Hisar","39.6 (2017)"
"Bhiwani","30.9 (2017)"
"Rohtak","34.3 (2017)"
"Jhajjar","40.1 (2017)"
"Mahendragarh","36.9 (2017)"
"Rewari","43.9 (2017)"
"Gurgaon","37.4 (2017)"
"Mewat","32.5 (2017)"
"Faridabad","34.7 (2017)"
"Palwal","36.7 (2017)"
"Yamunanagar","30 (2017)"
