"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Chennai","31.2 (2017)"
"Kancheepuram","36.9 (2017)"
"Erode","36 (2017)"
"Dindigul","36 (2017)"
"Cuddalore","35 (2017)"
"Kanniyakumari","36.6 (2017)"
"Dharmapuri","40.3 (2017)"
"Coimbatore","33.3 (2017)"
"Thiruvallur","34.8 (2017)"
"Salem","32.8 (2017)"
"Namakkal","33.1 (2017)"
"The Nilgiris","31.5 (2017)"
"Karur","31.9 (2017)"
"Perambalur","42 (2017)"
"Nagappattinam","31.9 (2017)"
"Thiruvarur","31.7 (2017)"
"Thanjavur","33.6 (2017)"
"Pudukkottai","31.5 (2017)"
"Sivaganga","36.9 (2017)"
"Madurai","31.7 (2017)"
"Theni","32.8 (2017)"
"Ramanathapuram","40 (2017)"
"Vellore","34 (2017)"
"Tiruvannamalai","34.8 (2017)"
"Viluppuram","36.9 (2017)"
"Tiruchirappalli","30.5 (2017)"
"Virudunagar","33 (2017)"
"Thoothukkudi","35.1 (2017)"
"Tirunelveli","36 (2017)"
"Ariyalur",""
"Krishnagiri",""
"Tiruppur",""
