"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Badgam","43.8 (2017)"
"Baramula","40.5 (2017)"
"Bandipore","37.3 (2017)"
"Anantnag","31.7 (2017)"
"Doda","36.4 (2017)"
"Kupwara","44.4 (2017)"
"Leh(Ladakh)","30.6 (2017)"
"Kargil","26.4 (2017)"
"Punch","41.9 (2017)"
"Rajouri","39.3 (2017)"
"Kathua","33.6 (2017)"
"Srinagar","37.9 (2017)"
"Ganderbal","48.5 (2017)"
"Pulwama","22 (2017)"
"Shupiyan","15.4 (2017)"
"Kulgam","19.6 (2017)"
"Ramban","39.2 (2017)"
"Kishtwar","43.9 (2017)"
"Udhampur","35.2 (2017)"
"Reasi","31.9 (2017)"
"Jammu","32.2 (2017)"
"Samba","38 (2017)"
"Jammu & Kashmir - NA",""
