"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Bankura","34 (2017)"
"Jalpaiguri","29.9 (2017)"
"Koch Bihar","37.8 (2017)"
"Dakshin Dinajpur","35.6 (2017)"
"Birbhum","36.4 (2017)"
"Hugli","35.3 (2017)"
"Haora","36.8 (2017)"
"Maldah","42.6 (2017)"
"Murshidabad","43.2 (2017)"
"Nadia","37.2 (2017)"
"North Twenty Four Parganas","33.9 (2017)"
"Kolkata","43.5 (2017)"
"Paschim Medinipur","45.2 (2017)"
"Purba Medinipur","49.1 (2017)"
"Uttar Dinajpur","30 (2017)"
"Puruliya","34.1 (2017)"
"South Twenty Four Parganas","46.3 (2017)"
"Darjiling",""
"Barddhaman",""
"West Bengal - New Moore Island",""
