"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Uttarkashi","33 (2017)"
"Chamoli","39 (2017)"
"Rudraprayag","43.3 (2017)"
"Tehri Garhwal","50 (2017)"
"Dehradun","41.8 (2017)"
"Garhwal","45 (2017)"
"Pithoragarh","40.6 (2017)"
"Bageshwar","41.2 (2017)"
"Almora","32.3 (2017)"
"Champawat","31.8 (2017)"
"Nainital","38.2 (2017)"
"Udham Singh Nagar","37.4 (2017)"
"Hardwar","41.7 (2017)"
