"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Chamba","33.1 (2017)"
"Kangra","35.4 (2017)"
"Lahul & Spiti","28.7 (2017)"
"Kullu","33.2 (2017)"
"Mandi","40.5 (2017)"
"Hamirpur","34.5 (2017)"
"Una","34.8 (2017)"
"Bilaspur","35.6 (2017)"
"Solan","39.6 (2017)"
"Sirmaur","28.9 (2017)"
"Shimla","36.5 (2017)"
"Kinnaur","33 (2017)"
