"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Chamba","31.8 (2017)"
"Kangra","36.2 (2017)"
"Lahul & Spiti","29.6 (2017)"
"Kullu","31.7 (2017)"
"Mandi","40 (2017)"
"Hamirpur","33 (2017)"
"Una","36.5 (2017)"
"Bilaspur","34.6 (2017)"
"Solan","39.9 (2017)"
"Sirmaur","31.3 (2017)"
"Shimla","36.8 (2017)"
"Kinnaur","32.9 (2017)"
