"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"North Sikkim","30.7 (2017)"
"West Sikkim","29.6 (2017)"
"South Sikkim","29.2 (2017)"
"East Sikkim","29.6 (2017)"
