"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Mon","35 (2017)"
"Mokokchung","40.1 (2017)"
"Zunheboto","24.1 (2017)"
"Wokha","44.1 (2017)"
"Dimapur","29.3 (2017)"
"Phek","40.2 (2017)"
"Tuensang","23 (2017)"
"Longleng","30.5 (2017)"
"Kiphire","39.7 (2017)"
"Kohima","35.2 (2017)"
"Peren","32.7 (2017)"
