"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"East Garo Hills","27.6 (2017)"
"East Khasi Hills","35.4 (2017)"
"Jaintia Hills","32.9 (2017)"
"West Garo Hills","31.9 (2017)"
"South Garo Hills","30.5 (2017)"
"West Khasi Hills","36.7 (2017)"
"Ribhoi",""
