"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Mon","34.7 (2017)"
"Mokokchung","40.3 (2017)"
"Zunheboto","24.8 (2017)"
"Wokha","39.2 (2017)"
"Dimapur","29.7 (2017)"
"Phek","39.6 (2017)"
"Tuensang","23.2 (2017)"
"Longleng","27.1 (2017)"
"Kiphire","45.1 (2017)"
"Kohima","33.2 (2017)"
"Peren","33.2 (2017)"
