"","Average Performance of Students in Mathematics in Class 8, Percent (Male)"
"Uttarkashi","32.9 (2017)"
"Chamoli","38.7 (2017)"
"Rudraprayag","43.2 (2017)"
"Tehri Garhwal","48.1 (2017)"
"Dehradun","37.8 (2017)"
"Garhwal","46.5 (2017)"
"Pithoragarh","44.7 (2017)"
"Bageshwar","41.2 (2017)"
"Almora","34.1 (2017)"
"Champawat","36.7 (2017)"
"Nainital","36.3 (2017)"
"Udham Singh Nagar","38.1 (2017)"
"Hardwar","47.2 (2017)"
