"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Chamba","57.4 (2017)"
"Kangra","59.1 (2017)"
"Lahul & Spiti","59.7 (2017)"
"Kullu","58.3 (2017)"
"Mandi","61.6 (2017)"
"Hamirpur","53.6 (2017)"
"Una","56.1 (2017)"
"Bilaspur","60.9 (2017)"
"Solan","63 (2017)"
"Sirmaur","51.8 (2017)"
"Shimla","63 (2017)"
"Kinnaur","62.7 (2017)"
