"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Tawang","56 (2017)"
"West Kameng","39.4 (2017)"
"East Kameng","46.7 (2017)"
"Papum Pare","51.5 (2017)"
"Upper Subansiri","43.8 (2017)"
"West Siang","45.5 (2017)"
"East Siang","43.1 (2017)"
"Upper Siang","51.8 (2017)"
"Changlang","38.1 (2017)"
"Tirap","48.4 (2017)"
"Lower Subansiri","52.5 (2017)"
"Kurung Kumey","48.8 (2017)"
"Dibang Valley","43.6 (2017)"
"Lower Dibang Valley","40.7 (2017)"
"Lohit","37.8 (2017)"
"Anjaw","44.6 (2017)"
