"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Chamba","57.8 (2017)"
"Kangra","58.5 (2017)"
"Lahul & Spiti","63.7 (2017)"
"Kullu","57.9 (2017)"
"Mandi","60.6 (2017)"
"Hamirpur","53.8 (2017)"
"Una","55.1 (2017)"
"Bilaspur","61 (2017)"
"Solan","61.7 (2017)"
"Sirmaur","49.4 (2017)"
"Shimla","63.9 (2017)"
"Kinnaur","63 (2017)"
