"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Mamit","41.1 (2017)"
"Kolasib","50.8 (2017)"
"Aizawl","46.4 (2017)"
"Champhai","38.1 (2017)"
"Serchhip","44.1 (2017)"
"Lunglei","46.6 (2017)"
"Lawngtlai","36.1 (2017)"
"Saiha","39.5 (2017)"
