"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Chamba","57.2 (2017)"
"Kangra","59.8 (2017)"
"Lahul & Spiti","57.5 (2017)"
"Kullu","58.6 (2017)"
"Mandi","62.5 (2017)"
"Hamirpur","53.4 (2017)"
"Una","57.4 (2017)"
"Bilaspur","60.8 (2017)"
"Solan","64 (2017)"
"Sirmaur","53.7 (2017)"
"Shimla","62.1 (2017)"
"Kinnaur","62.5 (2017)"
