"","Average Performance of Students in Language in Class 8, Percent (Male)"
"East Garo Hills","40.1 (2017)"
"East Khasi Hills","54.9 (2017)"
"Jaintia Hills","46 (2017)"
"West Garo Hills","41 (2017)"
"South Garo Hills","39.1 (2017)"
"West Khasi Hills","54.5 (2017)"
"Ribhoi",""
