"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Panchkula","57.3 (2017)"
"Ambala","54.2 (2017)"
"Kurukshetra","56.8 (2017)"
"Kaithal","57.4 (2017)"
"Karnal","50 (2017)"
"Panipat","58.6 (2017)"
"Sonipat","52.1 (2017)"
"Jind","53.3 (2017)"
"Fatehabad","61.7 (2017)"
"Sirsa","59 (2017)"
"Hisar","58.1 (2017)"
"Bhiwani","53.8 (2017)"
"Rohtak","51 (2017)"
"Jhajjar","58.3 (2017)"
"Mahendragarh","59.4 (2017)"
"Rewari","59.9 (2017)"
"Gurgaon","61.5 (2017)"
"Mewat","39.5 (2017)"
"Faridabad","58.6 (2017)"
"Palwal","52.4 (2017)"
"Yamunanagar","52.6 (2017)"
