"","Average Performance of Students in Language in Class 8, Percent (Total)"
"East Godavari","66.7 (2017)"
"Anantapur","57.3 (2017)"
"Chittoor","53 (2017)"
"Krishna","58.8 (2017)"
"Guntur","58.6 (2017)"
"Kurnool","54.3 (2017)"
"Srikakulam","63.2 (2017)"
"Prakasam","62.4 (2017)"
"Nellore","56.3 (2017)"
"Vizianagaram","54.7 (2017)"
"Visakhapatnam","54.9 (2017)"
"West Godavari","52.9 (2017)"
"Y.S.R.","61.3 (2017)"
