"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Panchkula","62.5 (2017)"
"Ambala","59.6 (2017)"
"Kurukshetra","57 (2017)"
"Kaithal","57.5 (2017)"
"Karnal","51.3 (2017)"
"Panipat","60.5 (2017)"
"Sonipat","51.8 (2017)"
"Jind","54.8 (2017)"
"Fatehabad","58.5 (2017)"
"Sirsa","59.3 (2017)"
"Hisar","59 (2017)"
"Bhiwani","54.4 (2017)"
"Rohtak","61.3 (2017)"
"Jhajjar","62 (2017)"
"Mahendragarh","62.5 (2017)"
"Rewari","61.2 (2017)"
"Gurgaon","60.5 (2017)"
"Mewat","41.2 (2017)"
"Faridabad","56 (2017)"
"Palwal","54.3 (2017)"
"Yamunanagar","55.2 (2017)"
