"","Average Performance of Students in Language in Class 8, Percent (Male)"
"North Sikkim","52.5 (2017)"
"West Sikkim","49.8 (2017)"
"South Sikkim","49.7 (2017)"
"East Sikkim","49.2 (2017)"
