"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Kasaragod","57 (2017)"
"Kannur","62.1 (2017)"
"Kozhikode","61.8 (2017)"
"Malappuram","58.5 (2017)"
"Ernakulam","62.2 (2017)"
"Idukki","57.9 (2017)"
"Kottayam","60.7 (2017)"
"Alappuzha","59.2 (2017)"
"Kollam","65.7 (2017)"
"Wayanad","57.9 (2017)"
"Palakkad","58.1 (2017)"
"Thrissur","60.1 (2017)"
"Pathanamthitta","59.2 (2017)"
"Thiruvananthapuram","67.2 (2017)"
