"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Adilabad","45 (2017)"
"Nizamabad","55.1 (2017)"
"Mancherial","59.8 (2017)"
"Nirmal","55.4 (2017)"
"Peddapalli","56.9 (2017)"
"Mahabubabad","47.4 (2017)"
"Komaram Bheem","52.7 (2017)"
"Jagtial","54.5 (2017)"
"Jayashankar","53.5 (2017)"
"Bhadradri","53.6 (2017)"
