"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Mamit","43.3 (2017)"
"Kolasib","53.6 (2017)"
"Aizawl","48.5 (2017)"
"Champhai","42.4 (2017)"
"Serchhip","46.2 (2017)"
"Lunglei","51.5 (2017)"
"Lawngtlai","38.7 (2017)"
"Saiha","43.4 (2017)"
