"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Faridkot","52.8 (2017)"
"Bathinda","38 (2017)"
"Amritsar","49.3 (2017)"
"Barnala","46.4 (2017)"
"Gurdaspur","57.4 (2017)"
"Kapurthala","53 (2017)"
"Jalandhar","56.3 (2017)"
"Hoshiarpur","54.5 (2017)"
"Shahid Bhagat Singh Nagar","49.5 (2017)"
"Fatehgarh Sahib","48.4 (2017)"
"Ludhiana","48 (2017)"
"Moga","48.5 (2017)"
"Firozpur","50.5 (2017)"
"Muktsar","47.5 (2017)"
"Mansa","45.2 (2017)"
"Patiala","50.3 (2017)"
"Tarn Taran","45.4 (2017)"
"Rupnagar","47.6 (2017)"
"Sahibzada Ajit Singh Nagar","43.9 (2017)"
"Sangrur","43.4 (2017)"
