"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Kasaragod","66.2 (2017)"
"Kannur","69.5 (2017)"
"Kozhikode","67.4 (2017)"
"Malappuram","66.3 (2017)"
"Ernakulam","65.1 (2017)"
"Idukki","60.7 (2017)"
"Kottayam","65.4 (2017)"
"Alappuzha","65.5 (2017)"
"Kollam","68.2 (2017)"
"Wayanad","63.3 (2017)"
"Palakkad","65.5 (2017)"
"Thrissur","65.1 (2017)"
"Pathanamthitta","65.5 (2017)"
"Thiruvananthapuram","68.4 (2017)"
