"","Average Performance of Students in Language in Class 8, Percent (Total)"
"East Garo Hills","39.2 (2017)"
"East Khasi Hills","54.7 (2017)"
"Jaintia Hills","45.6 (2017)"
"West Garo Hills","42.4 (2017)"
"South Garo Hills","39.6 (2017)"
"West Khasi Hills","54.9 (2017)"
"Ribhoi",""
